area	company	pay
서초구	서초현대주유소	6500
강남구	아리스타커피 선릉직영점 (선릉역)	7000
강서구	㈜FNC/버거헌터 김포공항	7000
마포구	이니스페이스	30000
종로구	MMTH042-매머드커피 광화문점	6500
송파구	㈜아이스팩토리	7300
광진구	프리가	7500
영등포구	프리가	7500
중구	㈜옵스	6700
서초구	버거킹 남부터미널	6030
서대문구	빽다방이대정문점	6200
양천구	엠투상사	7000
강서구	㈜씨에스앤에스	7000
관악구	미도	35000
용산구	Super pan	7000
마포구	에프터먼데이	6500
금천구	아세아나인㈜	6030
강남구	BAR Largo	30000
강남구	BAR Largo	30000
서초구	버거킹 남부터미널	6030
강북구	산성골	7000
강남구	강남구청역점(자바시티커피)	7000
은평구	s bar	12000
마포구	디톡시 공덕점	7000
중구	제이제이케터링㈜	10000
영등포구	JJ	10000
은평구	쥬씨 은평역촌점	6300
영등포구	웰빙할인마트	6500
송파구	㈜오투씨앤아이	7240
중구	육전면사무소(명동점)	7000
강남구	샤로제	13000
마포구	㈜세븐TMC	8000
양천구	쭈오사퓨전포차	7000
용산구	용산 놀아조PC방	7000
강남구	다된다 대치점	10000
성북구	V.I.P바	15000
서초구	역삼동애플	8000
강남구	전철우 음식사랑 논현점	8000
송파구	카페 안(安)	6500
중구	롯데쇼핑㈜롯데시네마 황학	6030
강남구	sky	26000
관악구	한가네 숯불닭갈비 (신림점)	7000
마포구	싸움의고수 홍대점	7500
성북구	ThedreamGroup	6500
강서구	레카BAR	20000
서초구	와라와라사당2호점	7000
중랑구	GS25 상봉하나점	6030
영등포구	㈜티시스	9000
성북구	Subway성신여대점	6200
서초구	방배동 행복의집 베이커리, ㈜행복찹쌀떡	6700
종로구	㈜엘앤제이	6500
중구	보자기카드	7236
중구	청첩장 보자기카드	7437
강남구	세이지성형외과	7000
종로구	㈜직방	8000
금천구	㈜마더텅	10000
금천구	㈜마더텅	10000
노원구	별 노래연습장	6030
종로구	쥬씨동대문역점	6030
서대문구	행당족발(홍은점)	7000
강남구	스타일 압구정점	10000
서초구	키즈나	7000
송파구	[롯데월드-스쿨스토어]	7200
관악구	다우에스앤에스	10000
강남구	토마토 bar	28000
강남구	엔제리너스 역삼GS타워점	8000
송파구	밤스버거 직영 잠실 정순함박	6500
강남구	㈜놀부NBG  강남 비스트로 (놀부 보쌈) 직영	7500
서대문구	거품	6500
관악구	양철복(신림역점)	7500
중랑구	떼루와(신내점)	6030
금천구	㈜에이원맨파워	7500
강남구	엣지 bar	17000
중구	브레댄코 청구역점	6100
중구	㈜ 춘산에프앤비	7500
마포구	㈜홈앤쇼핑	8500
마포구	나인스쿨 마포지점	10000
노원구	젠틀몬스터	8000
중구	아웃백스테이크하우스 을지로입구점	7250
영등포구	수제맥주점문점 크래프트홉스	7000
강서구	호야호야 식빵	6100
양천구	생활맥주 목동점(오목교역)	7000
도봉구	와플대학/창동캠퍼스	6200
성동구	톡톡노래방	8000
